label,net_pnl,total_return_pct,sharpe,max_dd_pct,filled,fill_rate,tp_count,win_rate,settled,profit_factor,avg_win,avg_loss,robustness,p_buy_price,p_sell_price,p_entry_cutoff_seconds,p_risk_pct,p_stop_loss_price,p_trailing_stop_trigger,p_trailing_stop_floor,p_vix_min,p_weekend_size_mult,p_single_side,p_max_daily_loss_pct,p_session_hours,p_max_consecutive_losses_halt
BASELINE,4567.309999999995,456.7309999999995,0.9411281042522316,31.335255724004597,609,20.4,227,37.3,386,1.21,106.73140794223829,-63.22176165803109,1.7767,0.1,0.33,360,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
Cancel=180s,8893.620000000008,889.3620000000008,3.2009369015951235,7.729042816440389,189,6.3,107,56.6,83,2.39,107.14226027397261,-78.75060240963857,4.8378,0.1,0.33,180,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
Cancel=210s,8893.620000000008,889.3620000000008,3.2009369015951235,7.729042816440389,189,6.3,107,56.6,83,2.39,107.14226027397261,-78.75060240963857,4.8378,0.1,0.33,210,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
Cancel=240s,9656.160000000016,965.6160000000016,2.322937233816681,12.09884411382638,286,9.6,141,49.3,148,1.79,114.03190954773869,-85.65472972972974,4.7497,0.1,0.33,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
Cancel=270s,9656.160000000016,965.6160000000016,2.322937233816681,12.09884411382638,286,9.6,141,49.3,148,1.79,114.03190954773869,-85.65472972972974,4.7497,0.1,0.33,270,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
Cancel=300s,8040.730000000003,804.0730000000003,1.5769807362459993,19.072430415624495,420,14.0,180,42.9,245,1.41,119.0348,-86.42734693877553,3.6656,0.1,0.33,300,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+VIX>=16,9908.280000000008,990.8280000000009,3.2181224939897026,13.142880013897763,196,6.6,109,55.6,89,2.19,116.32583850931677,-96.11123595505617,5.1877,0.1,0.33,240,0.02,0.0,0.0,0.0,16.0,1.0,both,0.2,"(0, 24)",0
C4m+VIX>=17,9908.280000000008,990.8280000000009,3.2181224939897026,13.142880013897763,196,6.6,109,55.6,89,2.19,116.32583850931677,-96.11123595505617,5.1877,0.1,0.33,240,0.02,0.0,0.0,0.0,17.0,1.0,both,0.2,"(0, 24)",0
C4m+VIX>=18,9081.630000000003,908.1630000000002,3.2559598480833847,13.17617720297195,184,6.1,102,55.4,84,2.21,115.02993243243243,-91.68928571428572,4.8715,0.1,0.33,240,0.02,0.0,0.0,0.0,18.0,1.0,both,0.2,"(0, 24)",0
C4m+VIX>=19,8703.62000000001,870.362000000001,3.443988630058998,13.060301655710699,169,5.6,96,56.8,75,2.32,111.23198581560283,-90.17866666666669,4.7978,0.1,0.33,240,0.02,0.0,0.0,0.0,19.0,1.0,both,0.2,"(0, 24)",0
C4m+VIX>=20,3447.949999999998,344.7949999999998,3.0582947174107464,11.146735384891999,121,4.0,63,52.1,58,2.09,94.6275,-56.305172413793116,2.5796,0.1,0.33,240,0.02,0.0,0.0,0.0,20.0,1.0,both,0.2,"(0, 24)",0
C4m+VIX>=22,425.03999999999974,42.50399999999998,1.826637186343045,12.61176182007726,54,1.8,23,42.6,31,1.56,52.05291666666667,-25.89032258064516,0.8484,0.1,0.33,240,0.02,0.0,0.0,0.0,22.0,1.0,both,0.2,"(0, 24)",0
C4m+TP=0.3,8873.250000000004,887.3250000000004,2.306446581848021,13.198772128216685,286,9.6,151,52.8,140,1.8,98.1657345971564,-82.07857142857145,4.4079,0.1,0.3,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+TP=0.33,9656.160000000016,965.6160000000016,2.322937233816681,12.09884411382638,286,9.6,141,49.3,148,1.79,114.03190954773869,-85.65472972972974,4.7497,0.1,0.33,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+TP=0.35,11396.240000000005,1139.6240000000007,2.4340236993360858,11.39936650936112,286,9.6,139,48.6,151,1.83,128.19290640394087,-94.26821192052981,5.5041,0.1,0.35,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+TP=0.38,12091.259999999998,1209.1259999999997,2.4612757765043805,15.498059712517604,286,9.6,132,46.2,158,1.79,148.08666666666667,-100.80126582278483,5.7111,0.1,0.38,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+TP=0.4,12795.170000000004,1279.5170000000005,2.4798156504526196,17.93193966902969,286,9.6,129,45.1,160,1.77,161.56287234042554,-107.1575,5.9514,0.1,0.4,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+SL=0.04,5365.190000000002,536.5190000000002,1.9362643299303328,7.936444990813069,286,9.6,99,34.6,0,2.04,92.09689075630251,0.0,2.9206,0.1,0.33,240,0.02,0.04,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+SL=0.05,4548.939999999999,454.8939999999999,1.8533811487538658,7.4838468339794515,286,9.6,90,31.5,0,2.05,90.33533980582523,0.0,2.5609,0.1,0.33,240,0.02,0.05,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+SL=0.06,2689.9300000000017,268.99300000000017,1.529559890846999,8.274316199981243,286,9.6,73,25.5,0,1.88,78.20410256410256,0.0,1.6878,0.1,0.33,240,0.02,0.06,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+TP=0.4+Wknd=0.0,14909.59999999997,1490.9599999999969,2.9703476157452933,12.787246570783372,286,9.6,129,45.1,161,2.3,149.85672222222223,-72.8832298136646,7.0962,0.1,0.4,240,0.02,0.0,0.0,0.0,0.0,0.0,both,0.2,"(0, 24)",0
C4m+TP=0.4+Wknd=0.5,14884.69000000001,1488.469000000001,2.7941348679418625,11.889548750238504,286,9.6,129,45.1,161,1.99,163.60047872340428,-96.04472049689441,7.0337,0.1,0.4,240,0.02,0.0,0.0,0.0,0.0,0.5,both,0.2,"(0, 24)",0
C4m+TP=0.4+NO-only,7307.209999999999,730.721,3.244911499459151,13.662683608634607,155,5.2,74,47.7,81,2.1,144.26707070707076,-83.84444444444445,4.1476,0.1,0.4,240,0.02,0.0,0.0,0.0,0.0,1.0,no,0.2,"(0, 24)",0
C4m+TP=0.4+ConsecHalt=3,-59.539999999999964,-5.953999999999996,-15.87442390390525,5.953999999999996,3,0.1,0,0.0,3,0.0,0.0,-19.533333333333335,-0.0238,0.1,0.4,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",3
C4m+TP=0.4+Risk=1.0%,7155.479999999997,715.5479999999998,3.119608538439087,6.687110816003818,286,9.6,130,45.5,157,2.29,92.13163120567377,-36.14713375796178,4.11,0.1,0.4,240,0.01,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+TP=0.4+Risk=1.5%,11867.979999999998,1186.7979999999998,2.826349980318395,11.633728907397165,286,9.6,130,45.5,160,1.99,142.32773255813956,-76.793125,5.8451,0.1,0.4,240,0.015,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+TP=0.4+Risk=2.0%,12795.170000000004,1279.5170000000005,2.4798156504526196,17.93193966902969,286,9.6,129,45.1,160,1.77,161.56287234042554,-107.1575,5.9514,0.1,0.4,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 24)",0
C4m+Asian(0-8UTC),2167.43,216.743,2.675329112027057,14.203640500568838,109,3.6,53,48.6,56,2.02,80.33763636363638,-39.025,1.853,0.1,0.33,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(0, 8)",0
C4m+US(14-21UTC),1540.4800000000014,154.04800000000014,2.728699746965308,14.774594115151737,86,2.9,42,48.8,44,2.09,70.6106976744186,-32.98409090909091,1.6122,0.1,0.33,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(14, 21)",0
C4m+SkipLondon(14-8),7793.749999999998,779.3749999999999,2.5015294455296435,9.487769378844085,232,7.8,114,49.1,120,1.89,115.43040540540538,-75.23,4.1181,0.1,0.33,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(14, 8)",0
C4m+PeakUS(16-22UTC),872.5899999999999,87.25899999999999,2.254553816167264,11.935753897666638,73,2.4,33,45.2,40,1.81,61.084848484848486,-27.782500000000006,1.2121,0.1,0.33,240,0.02,0.0,0.0,0.0,0.0,1.0,both,0.2,"(16, 22)",0
